dataset	min_token_freq	vocab_size	vocab_used	layer_size	num_params	method	run	CIDEr	Bleu_1	Bleu_2	Bleu_3	Bleu_4	METEOR	ROUGE_L
flickr30k	4	8275	416	128	2848211	inject	3	0.346658592352	0.603885841777	0.405446267461	0.272337749932	0.181744359649	0.171851251904	0.417849221698
flickr30k	4	8275	469	256	7937619	merge	1	0.367154614634	0.604687215028	0.410924045395	0.275970624685	0.185108801823	0.174365044169	0.415891192665
flickr30k	4	8275	456	256	7937619	merge	2	0.345548266982	0.580050718512	0.390355130373	0.260925762335	0.17479420892	0.173150353555	0.413324229906
flickr30k	4	8275	455	256	7937619	merge	3	0.380249311457	0.596363636364	0.40413522739	0.271460061586	0.181509366952	0.174119025096	0.417469088196
flickr30k	4	8275	437	256	6081363	inject	1	0.362723723548	0.595383932534	0.40220117537	0.270133469389	0.1804941313	0.174211108829	0.417476066523
flickr30k	4	8275	448	256	6081363	inject	2	0.358090942453	0.607959278112	0.411579555524	0.276519209449	0.183330518548	0.174264141123	0.418345662465
flickr30k	4	8275	458	256	6081363	inject	3	0.356046756941	0.605135387488	0.412928355771	0.278379735433	0.185699977585	0.171593876744	0.416026091029
flickr30k	4	8275	470	512	16915539	merge	1	0.370780632991	0.59820874346	0.40262969278	0.268522862216	0.179520254197	0.174398114523	0.416114077006
flickr30k	4	8275	470	512	16915539	merge	2	0.370806059286	0.60105010234	0.405532383759	0.271897173611	0.183041982638	0.175702982058	0.420309672765
flickr30k	4	8275	455	512	16915539	merge	3	0.367645178339	0.609582152327	0.410504390388	0.272826479704	0.180078245168	0.173258522773	0.419935549285
flickr30k	4	8275	411	512	13727315	inject	1	0.365726322767	0.609450867379	0.420930168538	0.285343613513	0.191124766747	0.172953821604	0.421096713159
flickr30k	4	8275	489	512	13727315	inject	2	0.358184242802	0.596909855549	0.408480189823	0.276633582429	0.185813722065	0.17440466133	0.421605199967
flickr30k	4	8275	396	512	13727315	inject	3	0.382589145795	0.620492885889	0.427310306185	0.290731034756	0.194952998075	0.174649863634	0.424396078543
flickr30k	5	7415	462	128	3510775	merge	1	0.367420099971	0.605483146067	0.40824605605	0.273572377709	0.183608370722	0.173494301946	0.418849105163
flickr30k	5	7415	459	128	3510775	merge	2	0.346325188851	0.586244911805	0.39090699414	0.258508225185	0.172055107508	0.174523745663	0.412930792228
flickr30k	5	7415	470	128	3510775	merge	3	0.371541528754	0.610750869279	0.410653029445	0.273386823882	0.182738328648	0.173222339643	0.42020418173
flickr30k	5	7415	388	128	2627191	inject	1	0.351350210485	0.601455488366	0.406313048563	0.272455113798	0.183107869088	0.16827264176	0.417355050365
flickr30k	5	7415	390	128	2627191	inject	2	0.344380916161	0.59770429079	0.401811706471	0.266804175045	0.175999255012	0.170824502384	0.415115660469
flickr30k	5	7415	391	128	2627191	inject	3	0.321610253188	0.585287476116	0.391119071697	0.255472720097	0.166028605038	0.169385957194	0.413133249337
flickr30k	5	7415	438	256	7276279	merge	1	0.363194248556	0.577453232688	0.393891553255	0.266580427362	0.180604419545	0.178962615727	0.414686132346
flickr30k	5	7415	469	256	7276279	merge	2	0.357353734342	0.591635588705	0.394249438895	0.260550953807	0.171914791005	0.171357743107	0.408981019045
flickr30k	5	7415	461	256	7276279	merge	3	0.368657856691	0.608589418288	0.412075977034	0.276095939706	0.185188679003	0.17291735195	0.418548486198
flickr30k	5	7415	407	256	5640183	inject	1	0.357472774405	0.60421802246	0.410293626161	0.273662832688	0.18181117856	0.172879821407	0.418787328474
flickr30k	5	7415	412	256	5640183	inject	2	0.372749159772	0.608805060405	0.416914314451	0.283482917634	0.193309126881	0.172598906988	0.42341217744
flickr30k	5	7415	426	256	5640183	inject	3	0.352250383346	0.606162152099	0.409475047123	0.274454941899	0.182776369656	0.172498381992	0.416520816496
flickr30k	5	7415	528	512	15593719	merge	1	0.353744060421	0.574989473684	0.383249357066	0.252163084861	0.167143686965	0.173781939817	0.408948184188
flickr30k	5	7415	446	512	15593719	merge	2	0.365912707591	0.604274670305	0.410187478636	0.275918695982	0.185534793447	0.17312794953	0.419522628417
flickr30k	5	7415	434	512	15593719	merge	3	0.376314103759	0.613787849933	0.4189348116	0.283003221787	0.190946823884	0.17310702151	0.419289949518
flickr30k	5	7415	432	512	12845815	inject	1	0.36464213328	0.616420546659	0.422501735668	0.28500404426	0.19102988657	0.17267251997	0.423633261495
flickr30k	5	7415	393	512	12845815	inject	2	0.384526405043	0.625727645768	0.428923552561	0.290426582957	0.195391826791	0.176493447203	0.426675660998
flickr30k	5	7415	450	512	12845815	inject	3	0.351027452108	0.610026789131	0.414803745975	0.278929438082	0.187010019276	0.168924039844	0.414823681914
mscoco	3	11338	811	128	5021130	merge	1	0.769254780213	0.664420938044	0.486196121743	0.351757636264	0.256158077266	0.218847007565	0.483997774103
mscoco	3	11338	749	128	5021130	merge	2	0.771060279787	0.666030722359	0.488346978213	0.353809312984	0.257880479758	0.22009023642	0.488000460659
mscoco	3	11338	754	128	5021130	merge	3	0.777578603404	0.667279464393	0.488926393028	0.352255304864	0.25553033783	0.219744909537	0.48599821102
mscoco	3	11338	599	128	3635402	inject	1	0.77263961629	0.671984236741	0.49374149794	0.358103239182	0.260693227898	0.219776680854	0.493511194554
mscoco	3	11338	592	128	3635402	inject	2	0.770186928668	0.672734994925	0.494878421093	0.359686325449	0.262151620104	0.218383358993	0.491935967687
mscoco	3	11338	624	128	3635402	inject	3	0.759863950313	0.665276786532	0.489499000936	0.355720002448	0.258893326597	0.217017523033	0.487848089721
mscoco	3	11338	798	256	10293066	merge	1	0.768614631463	0.663832028092	0.483051745862	0.348459278198	0.252130855679	0.218809080567	0.484399998379
mscoco	3	11338	838	256	10293066	merge	2	0.769950987501	0.665714897717	0.485579921193	0.350306907501	0.254318208655	0.221224499321	0.488257120472
mscoco	3	11338	767	256	10293066	merge	3	0.768752644188	0.661123720875	0.482252914949	0.349501742391	0.255830035771	0.220389446115	0.486862404108
mscoco	3	11338	684	256	7652682	inject	1	0.778538975126	0.667571135432	0.49061248209	0.357248210258	0.262054526903	0.221236154219	0.492319488036
mscoco	3	11338	716	256	7652682	inject	2	0.79256678706	0.670645729378	0.494142193054	0.36229708762	0.267675315732	0.22258823642	0.49491079166
mscoco	3	11338	692	256	7652682	inject	3	0.78460189197	0.663657758855	0.490634405159	0.359174587067	0.263787745816	0.222341737241	0.490178382951
mscoco	3	11338	792	512	21623370	merge	1	0.74935433082	0.652982513552	0.475081580254	0.341235205543	0.24781937499	0.21655443678	0.480884377354
mscoco	3	11338	770	512	21623370	merge	2	0.748418440813	0.657780581466	0.475774824703	0.34052960816	0.245430301158	0.216532079909	0.479849027891
mscoco	3	11338	753	512	21623370	merge	3	0.753058604506	0.656216612996	0.475386781658	0.342471904216	0.249563055491	0.21813639072	0.482097968866
mscoco	3	11338	686	512	16866890	inject	1	0.781017504395	0.67058793757	0.491836360712	0.357166301745	0.260639810846	0.221268827212	0.492518974002
mscoco	3	11338	703	512	16866890	inject	2	0.793810116871	0.676950870373	0.499058970021	0.362588085687	0.26449979667	0.223746985813	0.498366214299
